#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
255694	2908	8202	109165	113841	-	RP5-1049G16.3	NR3C1	NCOA3	GCCR|GCR|GCRST|GR|GRL	ACTR|AIB-1|AIB1|CAGH16|CTG26|KAT13B|RAC3|SRC-3|SRC3|TNRC14|TNRC16|TRAM-1|bHLHe42|pCIP	Affinity Capture-Western	physical	Hsiao PW (2003)	PUBMED:12917342	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q9Y6Q9	Q59EE8	NP_006525|NP_001167558|NP_858045|NP_001167559	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255695	2908	6597	109165	112481	-	-	NR3C1	SMARCA4	GCCR|GCR|GCRST|GR|GRL	BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b	Affinity Capture-Western	physical	Hsiao PW (2003)	PUBMED:12917342	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	P51532	A7E2E1|Q9HBD4|B3KNW7	NP_003063|NP_001122319|NP_001122318|NP_001122317|NP_001122316|NP_001122320|NP_001122321|NP_001361386	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255696	2908	6599	109165	112483	-	-	NR3C1	SMARCC1	GCCR|GCR|GCRST|GR|GRL	BAF155|CRACC1|Rsc8|SRG3|SWI3	Affinity Capture-Western	physical	Hsiao PW (2003)	PUBMED:12917342	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q92922	Q58EY4	NP_003065	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255697	2908	6602	109165	112486	-	-	NR3C1	SMARCD1	GCCR|GCR|GCRST|GR|GRL	BAF60A|CRACD1|Rsc6p	Affinity Capture-Western	physical	Hsiao PW (2003)	PUBMED:12917342	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q96GM5	-	NP_003067|NP_620710	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255698	2908	6605	109165	112489	-	-	NR3C1	SMARCE1	GCCR|GCR|GCRST|GR|GRL	BAF57	Affinity Capture-Western	physical	Hsiao PW (2003)	PUBMED:12917342	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q969G3	A0A024R1S7	NP_003070	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255702	6602	2908	112486	109165	-	-	SMARCD1	NR3C1	BAF60A|CRACD1|Rsc6p	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-Western	physical	Hsiao PW (2003)	PUBMED:12917342	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GM5	-	NP_003067|NP_620710	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255703	6602	2908	112486	109165	-	-	SMARCD1	NR3C1	BAF60A|CRACD1|Rsc6p	GCCR|GCR|GCRST|GR|GRL	Reconstituted Complex	physical	Hsiao PW (2003)	PUBMED:12917342	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GM5	-	NP_003067|NP_620710	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255768	4088	2908	110263	109165	-	-	SMAD3	NR3C1	HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-Western	physical	Li G (2003)	PUBMED:12902338	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P84022	Q9P0T0|A0A024R5Z3	NP_001138576|NP_001138574|NP_001138575|NP_005893	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255769	4088	2908	110263	109165	-	-	SMAD3	NR3C1	HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3	GCCR|GCR|GCRST|GR|GRL	Reconstituted Complex	physical	Li G (2003)	PUBMED:12902338	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P84022	Q9P0T0|A0A024R5Z3	NP_001138576|NP_001138574|NP_001138575|NP_005893	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256005	6996	2908	112855	109165	-	-	TDG	NR3C1	hTDG	GCCR|GCR|GCRST|GR|GRL	Reconstituted Complex	physical	Chen D (2003)	PUBMED:12874288	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13569	B4E127|B4DI29	NP_003202	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
258662	2908	8204	109165	113843	-	-	NR3C1	NRIP1	GCCR|GCR|GCRST|GR|GRL	RIP140	Affinity Capture-Western	physical	Tazawa H (2003)	PUBMED:12773562	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	P48552	A8K171	NP_003480	-	-	-	-	-	-	Homo sapiens	Homo sapiens
258663	8204	2908	113843	109165	-	-	NRIP1	NR3C1	RIP140	GCCR|GCR|GCRST|GR|GRL	Reconstituted Complex	physical	Tazawa H (2003)	PUBMED:12773562	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48552	A8K171	NP_003480	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260418	2908	1616	109165	107985	-	DADB-159G18.9	NR3C1	DAXX	GCCR|GCR|GCRST|GR|GRL	BING2|DAP6|EAP1	Affinity Capture-Western	physical	Lin DY (2003)	PUBMED:12595526	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q9UER7	Q53F85|A0A024RCS3|B4E1C1	NP_001135441|NP_001341|NP_001241646|NP_001135442	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260419	1616	2908	107985	109165	DADB-159G18.9	-	DAXX	NR3C1	BING2|DAP6|EAP1	GCCR|GCR|GCRST|GR|GRL	Reconstituted Complex	physical	Lin DY (2003)	PUBMED:12595526	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UER7	Q53F85|A0A024RCS3|B4E1C1	NP_001135441|NP_001341|NP_001241646|NP_001135442	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260420	1616	2908	107985	109165	DADB-159G18.9	-	DAXX	NR3C1	BING2|DAP6|EAP1	GCCR|GCR|GCRST|GR|GRL	Two-hybrid	physical	Lin DY (2003)	PUBMED:12595526	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UER7	Q53F85|A0A024RCS3|B4E1C1	NP_001135441|NP_001341|NP_001241646|NP_001135442	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
261803	2908	6597	109165	112481	-	-	NR3C1	SMARCA4	GCCR|GCR|GCRST|GR|GRL	BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b	Reconstituted Complex	physical	Wallberg AE (2000)	PUBMED:10688647	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	P51532	A7E2E1|Q9HBD4|B3KNW7	NP_003063|NP_001122319|NP_001122318|NP_001122317|NP_001122316|NP_001122320|NP_001122321|NP_001361386	-	-	-	-	-	-	Homo sapiens	Homo sapiens
262956	2908	8204	109165	113843	-	-	NR3C1	NRIP1	GCCR|GCR|GCRST|GR|GRL	RIP140	Reconstituted Complex	physical	Zilliacus J (2001)	PUBMED:11266503	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	P48552	A8K171	NP_003480	-	-	-	-	-	-	Homo sapiens	Homo sapiens
262958	8204	2908	113843	109165	-	-	NRIP1	NR3C1	RIP140	GCCR|GCR|GCRST|GR|GRL	Reconstituted Complex	physical	Zilliacus J (2001)	PUBMED:11266503	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48552	A8K171	NP_003480	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
262965	2908	5469	109165	111465	-	-	NR3C1	MED1	GCCR|GCR|GCRST|GR|GRL	CRSP1|CRSP200|DRIP205|DRIP230|PBP|PPARBP|PPARGBP|RB18A|TRAP220|TRIP2	Reconstituted Complex	physical	Zilliacus J (2001)	PUBMED:11266503	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q15648	-	NP_004765	-	-	-	-	-	-	Homo sapiens	Homo sapiens
262967	2908	8202	109165	113841	-	RP5-1049G16.3	NR3C1	NCOA3	GCCR|GCR|GCRST|GR|GRL	ACTR|AIB-1|AIB1|CAGH16|CTG26|KAT13B|RAC3|SRC-3|SRC3|TNRC14|TNRC16|TRAM-1|bHLHe42|pCIP	Reconstituted Complex	physical	Zilliacus J (2001)	PUBMED:11266503	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q9Y6Q9	Q59EE8	NP_006525|NP_001167558|NP_858045|NP_001167559	-	-	-	-	-	-	Homo sapiens	Homo sapiens
262969	2908	8648	109165	114200	-	-	NR3C1	NCOA1	GCCR|GCR|GCRST|GR|GRL	F-SRC-1|KAT13A|RIP160|SRC1|bHLHe42|bHLHe74	Reconstituted Complex	physical	Zilliacus J (2001)	PUBMED:11266503	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q15788	-	NP_001349879|NP_003734|NP_001349884|NP_671766|NP_671756|NP_001349881|NP_001349883	-	-	-	-	-	-	Homo sapiens	Homo sapiens
262971	2908	10499	109165	115761	-	-	NR3C1	NCOA2	GCCR|GCR|GCRST|GR|GRL	GRIP1|KAT13C|NCoA-2|SRC2|TIF2|bHLHe75	Reconstituted Complex	physical	Zilliacus J (2001)	PUBMED:11266503	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q15596	-	NP_006531|NP_001308641|NP_001308640|NP_001308642|NP_001308636|NP_001308632	-	-	-	-	-	-	Homo sapiens	Homo sapiens
263123	2908	1387	109165	107777	-	-	NR3C1	CREBBP	GCCR|GCR|GCRST|GR|GRL	CBP|KAT3A|RSTS	Reconstituted Complex	physical	Almloef T (1998)	PUBMED:9649342	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q92793	-	NP_001073315|NP_004371	-	-	-	-	-	-	Homo sapiens	Homo sapiens
263124	1387	2908	107777	109165	-	-	CREBBP	NR3C1	CBP|KAT3A|RSTS	GCCR|GCR|GCRST|GR|GRL	Reconstituted Complex	physical	Almloef T (1998)	PUBMED:9649342	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92793	-	NP_001073315|NP_004371	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
