Protein ID,Gene,Description,Combined Total Peptides,Protein Probability,Top Peptide Probability,GR_vs_IgG_log2 fold change,GR_vs_IgG_p.val,GR_vs_IgG_p.adj,significant,GR_1 Intensity,GR_2 Intensity,GR_3 Intensity,IgG_1 Intensity,IgG_2 Intensity,IgG_3 Intensity
Q15366,PCBP2,Poly(rC)-binding protein 2,3,1.00E+00,9.98E-01,4.76,1.60E-04,5.39E-04,TRUE,2.94E+05,9.60E+05,3.43E+05,0.00E+00,0.00E+00,0.00E+00
P26373,RPL13,60S ribosomal protein L13,4,1.00E+00,9.96E-01,5.03,1.63E-04,5.39E-04,TRUE,3.06E+05,1.22E+06,4.59E+05,0.00E+00,0.00E+00,0.00E+00
Q06830,PRDX1,Peroxiredoxin-1,6,1.00E+00,9.98E-01,5.75,1.63E-04,5.39E-04,TRUE,5.15E+05,2.54E+06,6.21E+05,0.00E+00,1.79E+04,0.00E+00
P07195,LDHB,L-lactate dehydrogenase B chain,5,1.00E+00,9.98E-01,4.55,1.88E-04,6.11E-04,TRUE,3.49E+05,7.84E+05,2.29E+05,0.00E+00,0.00E+00,0.00E+00
P62913,RPL11,60S ribosomal protein L11,2,1.00E+00,9.98E-01,4.85,2.12E-04,6.70E-04,TRUE,4.55E+05,1.05E+06,2.48E+05,0.00E+00,0.00E+00,0.00E+00
P62937,PPIA,Peptidyl-prolyl cis-trans isomerase A,6,1.00E+00,9.99E-01,6.69,2.14E-04,6.70E-04,TRUE,2.08E+06,7.04E+06,1.34E+06,0.00E+00,6.15E+04,0.00E+00
Q13422,IKZF1,DNA-binding protein Ikaros,2,1.00E+00,9.96E-01,3.44,2.31E-04,7.09E-04,TRUE,1.42E+05,2.74E+05,1.63E+05,0.00E+00,0.00E+00,0.00E+00
Q15717,ELAVL1,ELAV-like protein 1,2,1.00E+00,9.91E-01,3.19,2.47E-04,7.35E-04,TRUE,1.36E+05,2.09E+05,1.32E+05,0.00E+00,0.00E+00,0.00E+00
P02662,CSN1S1,Alpha-S1-casein,2,1.00E+00,9.99E-01,4.36,2.48E-04,7.35E-04,TRUE,6.65E+05,3.24E+05,4.87E+05,0.00E+00,4.19E+04,0.00E+00
P31146,CORO1A,Coronin-1A,6,1.00E+00,9.99E-01,6.17,2.56E-04,7.41E-04,TRUE,5.32E+05,4.08E+06,8.44E+05,0.00E+00,0.00E+00,0.00E+00
Q13951,CBFB,Core-binding factor subunit beta,2,1.00E+00,9.95E-01,3.4,2.58E-04,7.41E-04,TRUE,1.79E+05,2.54E+05,1.26E+05,0.00E+00,0.00E+00,0.00E+00
Q969G3,SMARCE1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,4,1.00E+00,9.99E-01,4.74,2.70E-04,7.63E-04,TRUE,8.65E+05,2.00E+05,5.46E+05,0.00E+00,0.00E+00,0.00E+00
Q9NR30,DDX21,Nucleolar RNA helicase 2,3,1.00E+00,9.97E-01,2.9,3.13E-04,8.71E-04,TRUE,1.11E+05,1.54E+05,1.21E+05,0.00E+00,0.00E+00,0.00E+00
P00338,LDHA,L-lactate dehydrogenase A chain,6,1.00E+00,9.97E-01,5.69,3.35E-04,9.14E-04,TRUE,1.09E+06,2.98E+06,7.48E+05,0.00E+00,6.07E+04,0.00E+00
P23528,CFL1,Cofilin-1,5,1.00E+00,9.96E-01,5.35,3.40E-04,9.14E-04,TRUE,1.05E+06,1.89E+06,6.31E+05,0.00E+00,6.46E+04,0.00E+00
P62805,H4C1,Histone H4,7,1.00E+00,9.98E-01,4.12,3.56E-04,9.43E-04,TRUE,1.90E+07,4.35E+07,2.75E+07,2.35E+06,1.98E+06,9.37E+05
P62263,RPS14,40S ribosomal protein S14,3,1.00E+00,9.97E-01,4.74,3.80E-04,9.93E-04,TRUE,2.32E+05,1.13E+06,3.54E+05,0.00E+00,0.00E+00,0.00E+00
P43243,MATR3,Matrin-3,5,1.00E+00,9.94E-01,3.84,5.04E-04,1.30E-03,TRUE,1.91E+05,4.98E+05,1.50E+05,0.00E+00,0.00E+00,0.00E+00
Q8IW35,CEP97,Centrosomal protein of 97 kDa,8,1.00E+00,9.98E-01,5.28,5.31E-04,1.35E-03,TRUE,1.44E+06,2.04E+05,9.90E+05,0.00E+00,0.00E+00,0.00E+00
P46783,RPS10,40S ribosomal protein S10,2,1.00E+00,9.97E-01,3.33,5.70E-04,1.41E-03,TRUE,3.03E+05,1.38E+05,1.20E+05,0.00E+00,0.00E+00,0.00E+00
P61247,RPS3A,40S ribosomal protein S3a,4,1.00E+00,9.95E-01,4.09,5.73E-04,1.41E-03,TRUE,2.07E+05,6.70E+05,1.73E+05,0.00E+00,0.00E+00,0.00E+00
P62249,RPS16,40S ribosomal protein S16,4,1.00E+00,9.95E-01,4.97,6.10E-04,1.48E-03,TRUE,7.62E+05,1.14E+06,1.74E+05,0.00E+00,0.00E+00,0.00E+00
P05387,RPLP2,60S acidic ribosomal protein P2,5,1.00E+00,9.99E-01,5.25,6.25E-04,1.50E-03,TRUE,3.37E+05,2.23E+06,3.63E+05,0.00E+00,0.00E+00,0.00E+00
P50990,CCT8,T-complex protein 1 subunit theta,5,1.00E+00,9.99E-01,4.45,7.25E-04,1.69E-03,TRUE,3.60E+05,9.23E+05,1.55E+05,0.00E+00,0.00E+00,0.00E+00
P68363,TUBA1B,Tubulin alpha-1B chain,14,1.00E+00,9.99E-01,8,7.33E-04,1.69E-03,TRUE,9.05E+06,1.73E+07,1.15E+07,3.72E+05,0.00E+00,0.00E+00
P07766,CD3E,T-cell surface glycoprotein CD3 epsilon chain,5,1.00E+00,9.97E-01,6.13,7.34E-04,1.69E-03,TRUE,4.11E+06,1.98E+06,1.83E+06,0.00E+00,1.51E+05,0.00E+00
A0A5B9,TRBC2,T cell receptor beta constant 2,2,1.00E+00,9.95E-01,3.38,7.64E-04,1.74E-03,TRUE,3.44E+05,1.29E+05,1.25E+05,0.00E+00,0.00E+00,0.00E+00
P04075,ALDOA,Fructose-bisphosphate aldolase A,8,1.00E+00,9.99E-01,5.97,8.87E-04,1.99E-03,TRUE,1.02E+06,4.80E+06,1.66E+06,0.00E+00,1.14E+05,0.00E+00
P30050,RPL12,60S ribosomal protein L12,2,1.00E+00,9.98E-01,3.99,1.01E-03,2.24E-03,TRUE,4.77E+05,5.85E+05,2.09E+05,0.00E+00,5.05E+04,0.00E+00
Q13561,DCTN2,Dynactin subunit 2,3,1.00E+00,9.91E-01,4.05,1.04E-03,2.28E-03,TRUE,4.57E+05,1.05E+05,4.63E+05,0.00E+00,0.00E+00,0.00E+00
P42166,TMPO,"Lamina-associated polypeptide 2, isoform alpha",4,1.00E+00,9.99E-01,3.81,1.07E-03,2.31E-03,TRUE,1.61E+05,5.92E+05,1.42E+05,0.00E+00,0.00E+00,0.00E+00
Q07020,RPL18,60S ribosomal protein L18,5,1.00E+00,9.99E-01,3.16,1.08E-03,2.31E-03,TRUE,2.55E+06,1.50E+06,2.01E+06,2.94E+05,3.01E+05,1.23E+05
P26641,EEF1G,Elongation factor 1-gamma,4,1.00E+00,9.96E-01,4.42,1.09E-03,2.31E-03,TRUE,1.73E+05,1.10E+06,2.52E+05,0.00E+00,0.00E+00,0.00E+00
P08670,VIM,Vimentin,19,1.00E+00,9.99E-01,6.71,1.13E-03,2.34E-03,TRUE,2.63E+06,7.65E+06,4.05E+06,0.00E+00,2.45E+05,0.00E+00
P13010,XRCC5,X-ray repair cross-complementing protein 5,3,1.00E+00,9.91E-01,3.31,1.22E-03,2.50E-03,TRUE,8.04E+04,2.78E+05,2.13E+05,0.00E+00,0.00E+00,0.00E+00
Q14103,HNRNPD,Heterogeneous nuclear ribonucleoprotein D0,5,1.00E+00,9.99E-01,5.44,1.31E-03,2.65E-03,TRUE,1.63E+05,1.96E+06,1.24E+06,0.00E+00,0.00E+00,0.00E+00
P09651,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,10,1.00E+00,9.99E-01,6.53,1.32E-03,2.65E-03,TRUE,1.99E+06,6.17E+06,4.47E+06,0.00E+00,2.40E+05,0.00E+00
Q92841,DDX17,Probable ATP-dependent RNA helicase DDX17,5,1.00E+00,9.99E-01,3.52,1.36E-03,2.70E-03,TRUE,1.42E+05,4.57E+05,1.14E+05,0.00E+00,0.00E+00,0.00E+00
P60709,ACTB,"Actin, cytoplasmic 1",16,1.00E+00,9.99E-01,3.76,1.95E-03,3.82E-03,TRUE,4.75E+07,7.54E+07,4.73E+07,4.29E+06,9.52E+06,1.66E+06
P11142,HSPA8,Heat shock cognate 71 kDa protein,18,1.00E+00,9.99E-01,7.33,2.01E-03,3.91E-03,TRUE,4.76E+06,1.48E+07,8.47E+06,0.00E+00,4.98E+05,0.00E+00
P07437,TUBB,Tubulin beta chain,14,1.00E+00,9.99E-01,6.48,2.09E-03,4.02E-03,TRUE,9.34E+06,1.23E+07,1.02E+07,5.68E+05,1.73E+05,0.00E+00
P51991,HNRNPA3,Heterogeneous nuclear ribonucleoprotein A3,4,1.00E+00,9.99E-01,3.81,2.12E-03,4.02E-03,TRUE,4.81E+05,5.25E+05,2.30E+05,7.27E+04,0.00E+00,0.00E+00
P27348,YWHAQ,14-3-3 protein theta,2,1.00E+00,9.99E-01,2.36,2.14E-03,4.02E-03,TRUE,5.57E+04,1.03E+05,1.14E+05,0.00E+00,0.00E+00,0.00E+00
P04406,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,9,1.00E+00,9.99E-01,6.91,2.48E-03,4.61E-03,TRUE,7.38E+06,6.66E+06,5.43E+06,0.00E+00,5.30E+05,0.00E+00
P16401,H1-5,Histone H1.5,4,1.00E+00,9.99E-01,4.1,2.66E-03,4.88E-03,TRUE,3.56E+06,5.91E+06,6.41E+06,8.38E+05,3.21E+05,1.00E+05
P20591,MX1,Interferon-induced GTP-binding protein Mx1,7,1.00E+00,9.99E-01,4.73,2.67E-03,4.88E-03,TRUE,1.02E+05,1.29E+06,7.00E+05,0.00E+00,0.00E+00,0.00E+00
P67809,YBX1,Y-box-binding protein 1,3,1.00E+00,9.99E-01,3.35,2.83E-03,5.10E-03,TRUE,7.56E+04,4.25E+05,1.63E+05,0.00E+00,0.00E+00,0.00E+00
P26038,MSN,Moesin,4,1.00E+00,9.99E-01,4.48,2.86E-03,5.10E-03,TRUE,1.42E+05,1.57E+06,2.43E+05,0.00E+00,0.00E+00,0.00E+00
P33993,MCM7,DNA replication licensing factor MCM7,3,1.00E+00,9.99E-01,3.18,3.18E-03,5.62E-03,TRUE,1.86E+05,3.17E+05,6.24E+04,0.00E+00,0.00E+00,0.00E+00
P02769,ALB,Albumin,6,1.00E+00,9.99E-01,5.15,3.26E-03,5.70E-03,TRUE,1.47E+06,1.30E+06,1.61E+06,2.39E+05,0.00E+00,0.00E+00
P02545,LMNA,Prelamin-A/C,12,1.00E+00,9.99E-01,5.86,3.48E-03,6.04E-03,TRUE,3.11E+06,4.19E+06,1.42E+06,0.00E+00,3.26E+05,0.00E+00
P68104,EEF1A1,Elongation factor 1-alpha 1,10,1.00E+00,9.99E-01,6.59,4.19E-03,7.19E-03,TRUE,1.13E+07,1.63E+07,1.02E+07,1.14E+06,0.00E+00,1.08E+05
P62917,RPL8,60S ribosomal protein L8,4,1.00E+00,9.99E-01,5.81,5.38E-03,9.14E-03,TRUE,2.42E+06,4.16E+06,2.45E+06,0.00E+00,4.86E+05,0.00E+00
P00558,PGK1,Phosphoglycerate kinase 1,7,1.00E+00,9.99E-01,4.89,6.15E-03,1.03E-02,TRUE,1.76E+06,1.73E+06,6.41E+05,0.00E+00,2.59E+05,0.00E+00
P62241,RPS8,40S ribosomal protein S8,5,1.00E+00,9.97E-01,4.53,6.50E-03,1.08E-02,TRUE,1.73E+06,2.33E+06,1.13E+06,0.00E+00,3.48E+05,6.25E+04
P62701,RPS4X,"40S ribosomal protein S4, X isoform",4,1.00E+00,9.97E-01,5.25,6.99E-03,1.15E-02,TRUE,1.41E+06,2.58E+06,1.81E+06,0.00E+00,4.13E+05,0.00E+00
P13645,KRT10,"Keratin, type I cytoskeletal 10",20,1.00E+00,9.99E-01,2.2,7.53E-03,1.23E-02,TRUE,2.16E+07,5.09E+07,3.43E+07,1.18E+07,6.53E+06,5.09E+06
P69905,HBA2,Hemoglobin subunit alpha,5,1.00E+00,9.99E-01,2.66,7.85E-03,1.27E-02,TRUE,9.57E+06,7.50E+06,8.65E+06,2.01E+06,2.36E+06,5.17E+05
P06733,ENO1,Alpha-enolase,9,1.00E+00,9.99E-01,5.75,8.82E-03,1.42E-02,TRUE,3.68E+06,7.47E+06,4.97E+05,0.00E+00,3.03E+05,0.00E+00
P38919,EIF4A3,Eukaryotic initiation factor 4A-III,3,1.00E+00,9.92E-01,2.61,1.13E-02,1.79E-02,TRUE,2.88E+05,7.87E+04,4.89E+04,0.00E+00,0.00E+00,0.00E+00
P18621,RPL17,60S ribosomal protein L17,3,1.00E+00,9.98E-01,4.1,1.31E-02,2.07E-02,TRUE,1.15E+06,1.08E+06,2.09E+05,0.00E+00,1.77E+05,0.00E+00
P19338,NCL,Nucleolin,11,1.00E+00,9.99E-01,4.88,1.40E-02,2.18E-02,TRUE,4.49E+06,6.70E+06,4.40E+06,7.23E+05,4.25E+05,0.00E+00
P04264,KRT1,"Keratin, type II cytoskeletal 1",28,1.00E+00,9.99E-01,1.93,1.82E-02,2.81E-02,TRUE,4.69E+07,4.99E+07,6.06E+07,2.92E+07,1.13E+07,7.85E+06
O60814,H2BC12,Histone H2B type 1-K,4,1.00E+00,9.99E-01,5.94,2.12E-02,3.26E-02,TRUE,1.72E+07,3.13E+07,3.20E+07,2.42E+06,1.80E+06,0.00E+00
P16104,H2AX,Histone H2AX,4,1.00E+00,9.99E-01,3.72,2.16E-02,3.28E-02,TRUE,1.19E+06,2.09E+06,1.32E+06,4.17E+05,2.03E+05,0.00E+00
P06748,NPM1,Nucleophosmin,8,1.00E+00,9.99E-01,4.94,2.41E-02,3.64E-02,TRUE,7.10E+06,1.01E+07,7.66E+06,1.03E+06,1.07E+06,0.00E+00
P10412,H1-4,Histone H1.4,6,1.00E+00,9.98E-01,5.33,2.53E-02,3.79E-02,TRUE,7.12E+06,1.11E+07,1.14E+07,3.13E+06,0.00E+00,2.62E+05
P14866,HNRNPL,Heterogeneous nuclear ribonucleoprotein L,6,1.00E+00,9.98E-01,3.54,2.87E-02,4.24E-02,TRUE,2.51E+05,1.54E+06,2.09E+05,0.00E+00,1.79E+05,0.00E+00
P13647,KRT5,"Keratin, type II cytoskeletal 5",16,1.00E+00,9.99E-01,4.86,2.88E-02,4.24E-02,TRUE,1.02E+06,7.50E+06,5.49E+05,0.00E+00,5.96E+05,0.00E+00
P50914,RPL14,60S ribosomal protein L14,2,1.00E+00,9.98E-01,3.15,3.81E-02,5.55E-02,FALSE,1.11E+06,9.57E+05,1.05E+06,3.16E+05,3.00E+05,0.00E+00
P0C0S5,H2AZ1,Histone H2A.Z,3,9.99E-01,9.98E-01,3.4,5.41E-02,7.79E-02,FALSE,0.00E+00,5.82E+05,5.86E+05,0.00E+00,0.00E+00,0.00E+00
P46776,RPL27A,60S ribosomal protein L27a,2,1.00E+00,9.99E-01,3.58,5.43E-02,7.79E-02,FALSE,2.12E+06,2.27E+06,1.86E+06,0.00E+00,1.20E+06,2.59E+05
P63241,EIF5A,Eukaryotic translation initiation factor 5A-1,3,1.00E+00,9.99E-01,3.89,5.57E-02,7.92E-02,FALSE,0.00E+00,6.20E+05,1.51E+06,0.00E+00,0.00E+00,0.00E+00
P02042,HBD,Hemoglobin subunit delta,2,1.00E+00,9.98E-01,3.56,5.65E-02,7.92E-02,FALSE,3.47E+06,1.61E+06,2.31E+06,5.64E+05,8.24E+05,0.00E+00
P10809,HSPD1,"60 kDa heat shock protein, mitochondrial",3,1.00E+00,9.99E-01,3.43,5.66E-02,7.92E-02,FALSE,8.62E+05,4.20E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P18754,RCC1,Regulator of chromosome condensation,2,1.00E+00,9.98E-01,2.81,5.78E-02,8.03E-02,FALSE,3.69E+05,2.70E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P11586,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic",3,1.00E+00,9.96E-01,2.63,5.91E-02,8.10E-02,FALSE,0.00E+00,3.04E+05,2.27E+05,0.00E+00,0.00E+00,0.00E+00
Q9UQ80,PA2G4,Proliferation-associated protein 2G4,3,1.00E+00,9.91E-01,2.83,5.92E-02,8.10E-02,FALSE,0.00E+00,4.25E+05,2.43E+05,0.00E+00,0.00E+00,0.00E+00
Q92945,KHSRP,Far upstream element-binding protein 2,2,1.00E+00,9.92E-01,2.39,6.11E-02,8.29E-02,FALSE,0.00E+00,2.27E+05,1.83E+05,0.00E+00,0.00E+00,0.00E+00
